# ls_id        ra_1        dec_1        
  J0321-0655   50.352301   -6.93113     
  J0321-0600   50.372331   -6.01217     
  J0321-0727   50.429104   -7.46205     
  J0322+0008   50.545289   0.142        
  J0322-0625   50.669717   -6.42651     
  J0323-0050   50.799908   -0.83585     
  J0323-0659   50.9623     -6.99591     
  J0323-0751   50.987899   -7.85674     
  J0324-0801   51.083074   -8.01783     
  J0324-0015   51.103531   -0.26193     
  J0324-0715   51.131701   -7.2657      
  J0324+0102   51.163335   1.04732      
  J0324-0036   51.168624   -0.61315     
  J0324-0050   51.224475   -0.83573     
  J0325-4312   51.372454   -43.208328   
  J0326-0639   51.512068   -6.6526      
  J0326-0805   51.652741   -8.09755     
  J0326+0033   51.654998   0.55988      
  J0326-0032   51.725082   -0.54124     
  J0327-0701   51.965535   -7.03215     
  J0328-0724   52.012834   -7.4081      
  J0328+0053   52.061438   0.88396      
  J0328-0629   52.142344   -6.4993      
  J0328-0720   52.170531   -7.33358     
  J0328-0600   52.220624   -6.00808     
  J0328-0559   52.221799   -5.98996     
  J0329-0706   52.278632   -7.10912     
  J0329+0108   52.375655   1.1416       
  J0330-0651   52.621516   -6.85865     
  J0331-0626   52.928264   -6.44203     
  J0333-0719   53.366655   -7.32417     
  J0333+0112   53.423401   1.21561      
  J0334-0035   53.544385   -0.59309     
  J0334-0719   53.721381   -7.31779     
  J0335+2342   53.758667   23.709889    
  J0335+0057   53.872269   0.95167      
  J0335+0036   53.961573   0.61067      
  J0336-0651   54.070912   -6.85257     
  J0336-0050   54.128646   -0.84318     
  J0336-2619   54.131      -26.332722   
  J0336-0101   54.135174   -1.0206      
  J0337-0028   54.403193   -0.4701      
  J0337-0716   54.472287   -7.27225     
  J0338+0031   54.591753   0.53273      
  J0338-0014   54.647523   -0.24084     
  J0338-0644   54.664868   -6.73727     
  J0338+0045   54.682013   0.76147      
  J0338-0006   54.682993   -0.11502     
  J0339-0716   54.789119   -7.28158     
  J0339-0652   54.839564   -6.87073     
  J0339-0058   54.855773   -0.97213     
  J0339-0704   54.987669   -7.07642     
  J0340-0658   55.021499   -6.9805      
  J0340-0653   55.130646   -6.89164     
  J0340-0524   55.228733   -5.41032     
  J0341-0659   55.458284   -6.99438     
  J0342-0627   55.588788   -6.46505     
  J0342-0107   55.646731   -1.12685     
  J0342-0038   55.6559     -0.6373      
  J0342+0008   55.697167   0.13464      
  J0342-0033   55.721741   -0.55583     
  J0343+0111   55.808125   1.19565      
  J0343-0000   55.826537   -0.0105      
  J0343-0614   55.842001   -6.24169     
  J0343+2430   55.91787    24.503166    
  J0343-0641   55.949659   -6.69446     
  J0343+2431   55.973051   24.519865    
  J0344+0008   56.085623   0.13492      
  J0344+0037   56.20141    0.63303      
  J0344-0046   56.236866   -0.76771     
  J0345+0044   56.350856   0.74005      
  J0345+2409   56.461056   24.151052    
  J0346-0644   56.512735   -6.74446     
  J0346+0025   56.521626   0.42683      
  J0346-0613   56.693424   -6.22142     
  J0347+2422   56.824686   24.375475    
  J0350-0709   57.545199   -7.15566     
  J0354-1437   58.583695   -14.627446   
  J0355-1032   58.769875   -10.544861   
  J0355-0617   58.877527   -6.29313     
  J0402-0508   60.684586   -5.14771     
  J0403-0515   60.875458   -5.25186     
  J0405-0525   61.347309   -5.42834     
  J0405-0608   61.453624   -6.14791     
  J0406-0456   61.568751   -4.94979     
  J0406-0632   61.605889   -6.5373      
  J0406-0438   61.635189   -4.64069     
  J0407-2348   61.787083   -23.808056   
  J0407-0509   61.858064   -5.16548     
  J0408-0456   62.048303   -4.93456     
  J0408-0418   62.150479   -4.30504     
  J0408-0502   62.238022   -5.04276     
  J0410-0612   62.561922   -6.21619     
  J0410-0435   62.61564    -4.58786     
  J0410-0455   62.737387   -4.92523     
  J0411+1247   62.776762   12.796713    
  J0411-0556   62.824682   -5.94696     
  J0411-0545   62.855153   -5.75467     
  J0411-0537   62.879059   -5.62329     
  J0415+2800   63.811308   28.00267     
  J0418+2814   64.713151   28.242567    
  J0423-0006   65.971778   -0.11631     
  J0424-7404   66.209914   -74.078598   
